item,factor,name,price,wprice,kicker
1000,3,Worn Shortsword,132.33,99.2475,0.2
1001,3,Bent Staff,32.33,24.2475,0.3
1002,5,Worn Mace,93.4,70.05,0.35
1003,4,Worn Axe,96,72,0.15
1004,10,Recruit's Shirt,4.6,3.45,0.3
1005,9,Recruit's Pants,13,9.75,0.35
1006,1,Recruit's Boots,264,198,0.2
1007,9,Squire's Boots,45,33.75,0.35
1008,4,Squire's Pants,12.75,9.5625,0.05
1009,4,Squire's Shirt,94.75,71.0625,0.05
1010,6,Footpad's Shoes,6.17,4.6275,0.4
1011,6,Footpad's Pants,30.5,22.875,0.45
1012,4,Footpad's Shirt,47.75,35.8125,0.3
1013,3,Neophyte's Boots,142,106.5,0.15
1014,7,Neophyte's Pants,16.71,12.5325,0.2
1015,9,Neophyte's Shirt,13.11,9.8325,0.4
1016,6,Apprentice's Boots,21.17,15.8775,0.2
1017,5,Apprentice's Robe,14.8,11.1,0.05
1018,9,Acolyte's Robe,37.11,27.8325,0.2
1019,1,Acolyte's Shoes,139,104.25,0.2
1020,3,Layered Tunic,23.67,17.7525,0.4
1021,2,Dwarven Leather Pants,188,141,0.1
1022,7,Dwarven Cloth Britches,19,14.25,0.3
1023,10,Soft Fur-Lined Shoes,12.8,9.6,0.4
1024,1,Dirty Leather Vest,324,243,0.25
1025,4,Tough Jerky,84.75,63.5625,0.3
1026,6,Minor Healing Potion,29.5,22.125,0.2
1027,8,Thug Pants,44.25,33.1875,0.25
1028,10,Thug Boots,28.3,21.225,0.25
1029,5,Trapper's Shirt,77.2,57.9,0.5
1030,6,Rugged Trapper's Boots,2.5,1.875,0.2
1031,5,Deprecated War Harness,24.4,18.3,0.5
1032,4,Brawler's Pants,51.25,38.4375,0.35
1033,9,Brawler's Boots,49,36.75,0.25
1034,4,Rugged Trapper's Pants,56.25,42.1875,0.35
1035,2,Rugged Trapper's Shirt,120,90,0.2
1036,2,Primitive Kilt,133,99.75,0.1
1037,4,Primitive Mantle,53.25,39.9375,0
1038,4,Refreshing Spring Water,120.75,90.5625,0.1
1039,10,Garrick's Head,42,31.5,0.4
1040,3,Tattered Cloth Vest,35,26.25,0.2
1041,2,Tattered Cloth Pants,233.5,175.125,0.2
1042,4,Tattered Cloth Boots,61.5,46.125,0.15
1043,1,Thick Cloth Vest,264,198,0.3
1044,9,Thick Cloth Pants,31,23.25,0.25
1045,7,Thick Cloth Shoes,55.43,41.5725,0.4
1046,8,Thick Cloth Gloves,54.38,40.785,0.5
1047,3,Dirty Leather Pants,134,100.5,0.05
1048,1,Dirty Leather Boots,476,357,0.3
1049,3,Cured Leather Armor,143.67,107.7525,0.1
1050,2,Cured Leather Pants,235.5,176.625,0.2
1051,10,Cured Leather Boots,6.1,4.575,0.05
1052,4,Cured Leather Gloves,100.25,75.1875,0.15
1053,9,Scalemail Vest,35.89,26.9175,0.05
1054,8,Scalemail Pants,50.13,37.5975,0.2
1055,2,Scalemail Boots,102,76.5,0.1
1056,7,Dalaran Sharp,47.43,35.5725,0.25
1057,9,Dwarven Mild,26.44,19.83,0.2
1058,1,Destiny,352,264,0.15
1059,3,Bracers of the People's Militia,25,18.75,0.15
1060,5,Tattered Cloth Gloves,75.2,56.4,0.1
1061,8,Dirty Leather Gloves,24.75,18.5625,0.5
1062,4,Scalemail Gloves,35.25,26.4375,0.35
1063,10,Rabbit Handler Gloves,26.3,19.725,0.1
1064,10,Brawler Gloves,9.9,7.425,0.15
1065,3,Goretusk Liver,21,15.75,0.15
1066,3,Goretusk Liver Pie,1.67,1.2525,0.05
1067,4,Gnoll Paw,102.25,76.6875,0.45
1068,5,Notched Shortsword,6,4.5,0
1069,2,Recipe: Westfall Stew,232,174,0.35
1070,1,Westfall Stew,445,333.75,0.5
1071,5,Deprecated Malakai's Medallion,28.4,21.3,0.35
