transactionID,salesRepID,item1,item2,item3,period
1000000,30,1028,1096,1041,22
1000001,45,1143,1033,1195,10
1000002,73,1177,1031,1142,51
1000003,60,1130,1189,1105,47
1000004,72,1120,1177,1036,8
1000005,97,1100,1171,1174,37
1000006,28,1146,1175,1019,33
1000007,84,1006,1043,1002,3
1000008,52,1009,1156,1035,31
1000009,59,1192,1059,1190,4
1000010,55,1038,1082,1105,29
1000011,84,1092,1052,1105,32
1000012,38,1037,1137,1074,7
1000013,25,1092,1028,1018,47
1000014,14,1012,1165,1149,7
1000015,89,1152,1092,1000,14
1000016,89,1083,1042,1156,41
1000017,65,1130,1068,1180,46
1000018,10,1000,1081,1199,37
1000019,54,1165,1136,1109,14
1000020,49,1038,1141,1047,12
1000021,69,1184,1126,1137,7
1000022,92,1153,1002,1167,22
1000023,91,1066,1038,1119,9
1000024,41,1192,1143,1117,13
1000025,89,1065,1148,1000,2
1000026,98,1090,1106,1134,40
1000027,43,1163,1117,1018,32
1000028,88,1110,1065,1108,22
1000029,54,1032,1148,1003,2
1000030,99,1090,1176,1081,39
1000031,49,1009,1166,1094,52
1000032,97,1154,1003,1132,28
1000033,46,1189,1141,1160,18
1000034,54,1161,1006,1147,18
1000035,20,1147,1023,1099,15
1000036,78,1196,1039,1029,40
1000037,61,1084,1198,1076,3
1000038,10,1156,1168,1154,35
1000039,83,1171,1056,1080,23
1000040,68,1050,1164,1071,21
1000041,62,1106,1067,1012,11
1000042,17,1105,1169,1178,4
1000043,78,1123,1147,1036,44
1000044,46,1127,1027,1158,1
1000045,60,1098,1070,1039,28
1000046,66,1116,1027,1104,45
1000047,34,1082,1199,1020,2
1000048,20,1124,1169,1084,15
1000049,21,1108,1013,1033,31
1000050,46,1117,1110,1168,1
1000051,77,1029,1131,1064,32
1000052,25,1028,1099,1153,49
1000053,8,1107,1186,1036,27
1000054,67,1197,1179,1166,21
1000055,78,1023,1068,1080,35
1000056,77,1042,1045,1017,5
1000057,65,1108,1042,1016,11
1000058,38,1179,1154,1134,9
1000059,39,1151,1144,1169,44
1000060,18,1101,1091,1112,9
1000061,66,1117,1079,1106,13
1000062,82,1028,1080,1000,42
1000063,31,1189,1102,1055,19
1000064,10,1070,1008,1085,19
1000065,47,1055,1188,1091,17
1000066,20,1045,1083,1008,32
1000067,15,1076,1026,1178,34
1000068,28,1081,1057,1074,19
1000069,95,1188,1137,1177,23
1000070,18,1097,1110,1131,23
1000071,90,1179,1088,1163,11
1000072,9,1087,1000,1083,20
1000073,23,1169,1076,1197,41
1000074,53,1039,1132,1103,7
1000075,48,1169,1000,1067,50
1000076,73,1082,1025,1006,39
1000077,8,1071,1102,1196,1
1000078,72,1192,1086,1163,6
1000079,60,1153,1085,1114,46
1000080,45,1006,1181,1143,7
1000081,49,1116,1182,1164,9
1000082,50,1075,1157,1200,50
1000083,15,1171,1033,1068,37
1000084,8,1086,1036,1023,23
1000085,58,1088,1183,1027,5
1000086,12,1071,1011,1032,43
1000087,81,1174,1077,1027,13
1000088,99,1075,1196,1091,24
1000089,35,1136,1107,1084,27
1000090,97,1109,1061,1036,27
1000091,60,1187,1028,1012,6
1000092,33,1105,1052,1173,47
1000093,14,1114,1173,1181,23
1000094,69,1037,1066,1170,41
1000095,73,1104,1200,1023,42
1000096,99,1037,1177,1192,44
1000097,47,1060,1181,1094,11
1000098,14,1110,1051,1162,34
